,company_name,location,classification,revenue
1707,,"JOHNSON CITY, TN",Fund Raising and/or Fund Distribution,
1708,,"FAYETTEVILLE, TN",Alliance/Advocacy Organizations,
1709,,"FRANKLIN, TN",Undergraduate College (4-year),
1710,,"BROWNSVILLE, TN","Remedial Reading, Reading Encouragement",
1711,,"MEMPHIS, TN",Single Organization Support,"$44,850"
1712,,"HENDERSONVLLE, TN",Parent/Teacher Group,"$79,823"
1713,,"HENDERSONVLLE, TN",Alumni Associations,
1714,,"HENDERSONVLLE, TN",Single Organization Support,
1715,,"HENDERSONVLLE, TN",Single Organization Support,
1716,,"NEW TAZEWELL, TN","Elementary, Secondary Education, K - 12","$446,869"
1717,,"MOSHEIM, TN",Education N.E.C.,
1718,,"MEMPHIS, TN",Educational Services and Schools - Other,
1719,,"NASHVILLE, TN",Parent/Teacher Group,
1720,,"LIVINGSTON, TN","Scholarships, Student Financial Aid Services, Awards",
1721,,"LENOIR CITY, TN",Single Organization Support,
1722,,"FAYETTEVILLE, TN",Single Organization Support,
1723,,"NASHVILLE, TN",Single Organization Support,
1724,,"NASHVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$1,000,053"
1725,,"MADISONVILLE, TN",Alumni Associations,"$8,230"
1726,,"CORDOVA, TN",Parent/Teacher Group,
1727,,"MCMINNVILLE, TN","Adult, Continuing Education",
1728,,"CLARKSVILLE, TN",Single Organization Support,
1729,,"GALLATIN, TN","Remedial Reading, Reading Encouragement",
1730,,"MEMPHIS, TN","Student Sororities, Fraternities",
1731,,"NASHVILLE, TN",Educational Services and Schools - Other,
1732,,"GERMANTOWN, TN",Single Organization Support,"$49,035"
1733,,"GERMANTOWN, TN",Single Organization Support,"$100,775"
1734,,"SPARTA, TN",Alliance/Advocacy Organizations,
1735,,"MT PLEASANT, TN",Alumni Associations,
1736,,"BRENTWOOD, TN","Student Services, Organizations of Students",
1737,,"SMYRNA, TN",Educational Services and Schools - Other,
1738,,"FAYETTEVILLE, TN",Nonmonetary Support N.E.C.,
1739,,"NASHVILLE, TN",Educational Services and Schools - Other,
1740,,"MEMPHIS, TN","Vocational, Technical Schools",
1741,,"CORDOVA, TN",Specialized Education Institutions,
1742,,"BARTLETT, TN",Educational Services and Schools - Other,
1743,,"MURFREESBORO, TN",Education N.E.C.,"$387,796"
1744,,"FRANKLIN, TN","Adult, Continuing Education",
1745,,"HENDERSONVLLE, TN","Professional Societies, Associations",
1746,,"WOODBURY, TN",Educational Services and Schools - Other,
1747,,"NASHVILLE, TN",Nonmonetary Support N.E.C.,
1748,,"MEMPHIS, TN",Educational Services and Schools - Other (B95Z),
1749,,"COLLEGEDALE, TN",Alliance/Advocacy Organizations,"$98,195"
1750,,"MARYVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
1751,,"MADISON, TN",Education N.E.C.,"$86,940"
1752,,"NASHVILLE, TN",Educational Services and Schools - Other,
1753,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
1754,,"DANDRIDGE, TN",Single Organization Support,"$43,812"
1755,,"NASHVILLE, TN","Primary, Elementary Schools","$480,823"
1756,,"MURFREESBORO, TN","Adult, Continuing Education","$66,443"
1757,,"CROSSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1758,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
1759,,"MURFREESBORO, TN",Parent/Teacher Group,
1760,,"KNOXVILLE, TN","Graduate, Professional Schools (Separate Entities)","$5,010,332"
1761,,"TRENTON, TN","Scholarships, Student Financial Aid Services, Awards",
1762,,"MORRISTOWN, TN","Scholarships, Student Financial Aid Services, Awards",
1763,,"KINGSPORT, TN","Scholarships, Student Financial Aid Services, Awards",
1764,,"MEMPHIS, TN","Student Sororities, Fraternities","$55,320"
1765,,"ATHENS, TN","Student Sororities, Fraternities",
1766,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
1767,,"KINGSPORT, TN",Alumni Associations,
1768,,"MEMPHIS, TN","Student Services, Organizations of Students",
1769,,"KIMBALL, TN","Primary, Elementary Schools",
1770,,"KINGSPORT, TN","Secondary, High School",
1771,,"JACKSON, TN","Elementary, Secondary Education, K - 12 (B22Z)",
1772,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12","$192,396"
1773,,"KNOXVILLE, TN","Adult, Continuing Education","$131,489"
1774,,"KNOXVILLE, TN",Single Organization Support,"$66,916"
1775,,"KNOXVILLE, TN",Education N.E.C.,"$927,888"
1776,,"KNOXVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$780,777"
1777,,"KNOXVILLE, TN",Single Organization Support,"$98,870"
1778,,"WHITEVILLE, TN","Student Services, Organizations of Students",
1779,,"LAKELAND, TN","Scholarships, Student Financial Aid Services, Awards","$56,996"
1780,,"CUNNINGHAM, TN",Fund Raising and/or Fund Distribution,
1781,,"JONESBOROUGH, TN","Student Services, Organizations of Students",
1782,,"OOLTEWAH, TN","Student Sororities, Fraternities",
1783,,"CORDOVA, TN","Primary, Elementary Schools","$2,081,982"
1784,,"RIPLEY, TN",Educational Services and Schools - Other,
1785,,"LA VERGNE, TN",Single Organization Support,
1786,,"TELLICO PLNS, TN",Single Organization Support,
1787,,"JACKSON, TN",Fund Raising and/or Fund Distribution,"$189,567"
1788,,"KNOXVILLE, TN",Educational Services and Schools - Other,"$985,031"
1789,,"MEMPHIS, TN",Single Organization Support,
1790,,"MEMPHIS, TN",Specialized Education Institutions,
1791,,"MARYVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1792,,"LEBANON, TN",Single Organization Support,"$28,083"
1793,,"MOUNTAIN CITY, TN",Educational Services and Schools - Other,
1794,,"OLD HICKORY, TN","Scholarships, Student Financial Aid Services, Awards","$151,311"
1795,,"GERMANTOWN, TN",Educational Services and Schools - Other,"$75,011"
1796,,"HOHENWALD, TN",Parent/Teacher Group,
1797,,"GALLATIN, TN",Single Organization Support,
1798,,"MEMPHIS, TN",Educational Services and Schools - Other,"$19,668"
1799,,"KINGSTON, TN",Libraries,
1800,,"MEMPHIS, TN",Educational Services and Schools - Other,"$15,000"
1801,,"BRENTWOOD, TN",Educational Services and Schools - Other,
1802,,"FRANKLIN, TN",Education N.E.C.,
1803,,"ARDMORE, TN",Educational Services and Schools - Other,
1804,,"NASHVILLE, TN","Primary, Elementary Schools","$3,161,337"
1805,,"CORDOVA, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
1806,,"MURFREESBORO, TN",Fund Raising and/or Fund Distribution,
1807,,"LAFAYETTE, TN","Scholarships, Student Financial Aid Services, Awards",
1808,,"LAFAYETTE, TN",Single Organization Support,
1809,,"JOHNSON CITY, TN",Specialized Education Institutions,
1810,,"MADISONVILLE, TN",Parent/Teacher Group,
1811,,"GERMANTOWN, TN",Specialized Education Institutions,"$3,818,896"
1812,,"CORDOVA, TN",Educational Services and Schools - Other,"$563,060"
1813,,"MANCHESTER, TN",Single Organization Support,"$86,425"
1814,,"CLARKSVILLE, TN",Educational Services and Schools - Other,"$5,669,916"
1815,,"LEWISBURG, TN",Educational Services and Schools - Other,"$10,390"
1816,,"MARTIN, TN","Vocational, Technical Schools","$34,386"
1817,,"FRANKLIN, TN",Educational Services and Schools - Other,
1818,,"MARYVILLE, TN",Undergraduate College (4-year),"$56,000,683"
1819,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)",
1820,,"CLEVELAND, TN","Graduate, Professional Schools (Separate Entities)",
1821,,"ATHENS, TN","Elementary, Secondary Education, K - 12",
1822,,"NASHVILLE, TN",Single Organization Support,"$21,370"
1823,,"NASHVILLE, TN",Single Organization Support,
1824,,"RICEVILLE, TN",Single Organization Support,
1825,,"NASHVILLE, TN",Alumni Associations,"$404,089"
1826,,"DECATUR, TN",Single Organization Support,"$1,952"
1827,,"CHATTANOOGA, TN",Education N.E.C.,"$224,604"
1828,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$3,836,199"
1829,,"MEMPHIS, TN","Student Services, Organizations of Students",
1830,,"MEMPHIS, TN",Educational Services and Schools - Other,
1831,,"CORDOVA, TN",Education N.E.C.,
1832,,"MEMPHIS, TN",Higher Education Institutions,"$2,795"
1833,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
1834,,"MEMPHIS, TN","Secondary, High School","$5,461,685"
1835,,"MEMPHIS, TN",Specialized Education Institutions,
1836,,"MEMPHIS, TN",Education N.E.C.,
1837,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
1838,,"HENDERSONVLLE, TN",Single Organization Support,"$46,142"
1839,,"GERMANTOWN, TN",Education N.E.C.,
1840,,"CHATTANOOGA, TN","Adult, Continuing Education","$5,900,913"
1841,,"MEMPHIS, TN","Professional Societies, Associations","$13,296"
1842,,"BRENTWOOD, TN","Student Services, Organizations of Students",
1843,,"NASHVILLE, TN",Education N.E.C.,"$216,857"
1844,,"MEMPHIS, TN",Single Organization Support,
1845,,"MEMPHIS, TN",Educational Services and Schools - Other,
1846,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$113,743"
1847,,"CHATTANOOGA, TN",Educational Services and Schools - Other,$1
1848,,"MOUNT JULIET, TN",Educational Services and Schools - Other,"$98,703"
1849,,"MONTEREY, TN","Scholarships, Student Financial Aid Services, Awards",
1850,,"NASHVILLE, TN",Parent/Teacher Group,"$63,775"
1851,,"CLARKSVILLE, TN",Alliance/Advocacy Organizations,"$83,595"
1852,,"CLARKSVILLE, TN",Education N.E.C.,"$2,343"
1853,,"MORRISTOWN, TN","Primary, Elementary Schools","$269,324"
1854,,"COOKEVILLE, TN",University or Technological Institute,
1855,,"MT PLEASANT, TN",Educational Services and Schools - Other,
1856,,"GREENEVILLE, TN","Student Services, Organizations of Students",
1857,,"ETOWAH, TN",Parent/Teacher Group,
1858,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$24,991"
1859,,"MURFREESBORO, TN",Research Institutes and/or Public Policy Analysis,
1860,,"MURFREESBORO, TN","Student Services, Organizations of Students",
1861,,"NASHVILLE, TN",Education N.E.C.,
1862,,"NASHVILLE, TN",Educational Services and Schools - Other,
1863,,"NASHVILLE, TN",Educational Services and Schools - Other,"$138,061"
1864,,"NASHVILLE, TN",Specialized Education Institutions,"$4,015,122"
1865,,"CLARKSVILLE, TN",Parent/Teacher Group,
1866,,"SPRINGFIELD, TN",Educational Services and Schools - Other,
1867,,"SPRING HILL, TN",Education N.E.C.,
1868,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
1869,,"NASHVILLE, TN",Nonmonetary Support N.E.C.,
1870,,"HENDERSONVLLE, TN",Alliance/Advocacy Organizations,
1871,,"NASHVILLE, TN",Management & Technical Assistance,
1872,,"NASHVILLE, TN",Education N.E.C.,
1873,,"MANCHESTER, TN",Single Organization Support,
1874,,"CLEVELAND, TN",Parent/Teacher Group,"$62,583"
1875,,"LEWISBURG, TN",Single Organization Support,
1876,,"OAK RIDGE, TN",Parent/Teacher Group,
1877,,"OAKLAND, TN",Educational Services and Schools - Other,
1878,,"TROY, TN",Fund Raising and/or Fund Distribution,
1879,,"UNION CITY, TN",Single Organization Support,
1880,,"MARYVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1881,,"ALCOA, TN",Alumni Associations,
1882,,"CASTALIN SPGS, TN",Education N.E.C.,
1883,,"WILDERSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1884,,"OOLTEWAH, TN",Parent/Teacher Group,
1885,,"MEMPHIS, TN","Adult, Continuing Education",
1886,,"MEMPHIS, TN",Educational Services and Schools - Other,
1887,,"FRANKLIN, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$94,525"
1888,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
1889,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12",
1890,,"LIVINGSTON, TN","Scholarships, Student Financial Aid Services, Awards",
1891,,"FRANKLIN, TN",Single Organization Support,"$255,368"
1892,,"FRANKLIN, TN",Single Organization Support,"$103,913"
1893,,"CLARKSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1894,,"HENDERSONVILLE, TN",Single Organization Support,"$89,924"
1895,,"MEMPHIS, TN",Single Organization Support,
1896,,"COLLIERVILLE, TN",Single Organization Support,
1897,,"MURFREESBORO, TN",Single Organization Support,
1898,,"KNOXVILLE, TN",Single Organization Support,"$65,248"
1899,,"MORRISTOWN, TN",Single Organization Support,
1900,,"COPPERHILL, TN",Single Organization Support,
1901,,"ARLINGTON, TN",Single Organization Support,
1902,,"COVINGTON, TN",Single Organization Support,
1903,,"KNOXVILLE, TN",Single Organization Support,
1904,,"WHITE HOUSE, TN",Single Organization Support,
1905,,"NASHVILLE, TN",Single Organization Support,"$157,253"
1906,,"MURFREESBORO, TN",Parent/Teacher Group,
1907,,"CORDOVA, TN",Educational Services and Schools - Other,"$255,647"
1908,,"CHATTANOOGA, TN",Education N.E.C.,"$80,554"
1909,,"BLUFF CITY, TN",Single Organization Support,"$238,235"
1910,,"ANTIOCH, TN",Educational Services and Schools - Other,"$148,622"
1911,,"KNOXVILLE, TN",Alliance/Advocacy Organizations,
1912,,"CORDOVA, TN","Scholarships, Student Financial Aid Services, Awards",
1913,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12","$636,217"
1914,,"CHATTANOOGA, TN",Parent/Teacher Group,
1915,,"ADAMS, TN",Single Organization Support,
1916,,"KNOXVILLE, TN","Student Sororities, Fraternities",
1917,,"KNOXVILLE, TN","Student Services, Organizations of Students",
1918,,"MARTIN, TN","Student Services, Organizations of Students",
1919,,"DANDRIDGE, TN",Fund Raising and/or Fund Distribution,
1920,,"GATLINBURG, TN",Parent/Teacher Group,
1921,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,"$9,300"
1922,,"NASHVILLE, TN",Education N.E.C.,"$285,809"
1923,,"KNOXVILLE, TN",Parent/Teacher Group,
1924,,"TALBOTT, TN",Education N.E.C.,
1925,,"POWELL, TN",Parent/Teacher Group,"$110,996"
1926,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
1927,,"NASHVILLE, TN",Alliance/Advocacy Organizations,"$171,313"
1928,,"FRANKLIN, TN","Adult, Continuing Education","$1,213,248"
1929,,"MORRISTOWN, TN",Educational Services and Schools - Other,
1930,,"NASHVILLE, TN","Remedial Reading, Reading Encouragement",
1931,,"SIGNAL MTN, TN",Education N.E.C.,
1932,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
1933,,"CHATTANOOGA, TN",Parent/Teacher Group,
1934,,"NASHVILLE, TN",Parent/Teacher Group,
1935,,"KINGSPORT, TN",Parent/Teacher Group,
1936,,"ARLINGTON, TN",Parent/Teacher Group,
1937,,"BRISTOL, TN",Single Organization Support,
1938,,"ANTIOCH, TN",Parent/Teacher Group,
1939,,"GOODLETTSVLLE, TN","Student Services, Organizations of Students",
1940,,"JASPER, TN",Education N.E.C.,
1941,,"ONEIDA, TN",Fund Raising and/or Fund Distribution,
1942,,"HUNTINGDON, TN","Scholarships, Student Financial Aid Services, Awards",
1943,,"HIXSON, TN","Remedial Reading, Reading Encouragement",
1944,,"MEMPHIS, TN",Education N.E.C.,
1945,,"SPRINGFIELD, TN",Alliance/Advocacy Organizations,
1946,,"TAZEWELL, TN","Adult, Continuing Education","$108,963"
1947,,"JOHNSON CITY, TN",Education N.E.C.,
1948,,"NASHVILLE, TN",Educational Services and Schools - Other,
1949,,"KNOXVILLE, TN",Parent/Teacher Group,"$19,054"
1950,,"MURFREESBORO, TN",Single Organization Support,"$66,059"
1951,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
1952,,"KNOXVILLE, TN",Single Organization Support,
1953,,"KINGSTON, TN",Education N.E.C.,"$47,251"
1954,,"KNOXVILLE, TN",Single Organization Support,"$134,199"
1955,,"MARYVILLE, TN",Management & Technical Assistance,"$20,000"
1956,,"CLARKSVILLE, TN",Parent/Teacher Group,"$94,746"
1957,,"MEMPHIS, TN",Alumni Associations,
1958,,"JACKSON, TN","Scholarships, Student Financial Aid Services, Awards",
1959,,"DICKSON, TN","Scholarships, Student Financial Aid Services, Awards",
1960,,"JOHNSON CITY, TN",Fund Raising and/or Fund Distribution,
1961,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
1962,,"COOKEVILLE, TN","Elementary, Secondary Education, K - 12","$1,341,676"
1963,,"KNOXVILLE, TN",Single Organization Support,"$117,200"
1964,,"SEYMOUR, TN",Single Organization Support,
1965,,"SEYMOUR, TN",Single Organization Support,"$249,275"
1966,,"KNOXVILLE, TN",Single Organization Support,
1967,,"MEMPHIS, TN",Single Organization Support,
1968,,"SHELBYVILLE, TN",Single Organization Support,
1969,,"SAVANNAH, TN","Elementary, Secondary Education, K - 12","$427,698"
1970,,"MURFREESBORO, TN",Educational Services and Schools - Other,"$99,420"
1971,,"MURFREESBORO, TN",Single Organization Support,"$111,377"
1972,,"GERMANTOWN, TN","Student Sororities, Fraternities",
1973,,"GERMANTOWN, TN","Student Sororities, Fraternities",
1974,,"MARTIN, TN","Student Sororities, Fraternities",
1975,,"NASHVILLE, TN",Educational Services and Schools - Other,
1976,,"CARTHAGE, TN","Student Services, Organizations of Students",
1977,,"COLUMBIA, TN","Scholarships, Student Financial Aid Services, Awards","$9,259"
1978,,"MEMPHIS, TN",Single Organization Support,
1979,,"BURNS, TN",Fund Raising and/or Fund Distribution,"$44,207"
1980,,"MEMPHIS, TN",Education N.E.C.,
1981,,"KNOXVILLE, TN",Educational Services and Schools - Other,
1982,,"KNOXVILLE, TN",Educational Services and Schools - Other,"$55,958"
1983,,"COLUMBIA, TN",University or Technological Institute,
1984,,"MEMPHIS, TN",University or Technological Institute,"$611,995"
1985,,"CHATTANOOGA, TN","Student Services, Organizations of Students",
1986,,"COLUMBIA, TN",Alumni Associations,
1987,,"COLUMBIA, TN",Educational Services and Schools - Other,
1988,,"MEMPHIS, TN",Specialized Education Institutions,
1989,,"HENDERSONVLLE, TN",Single Organization Support,
1990,,"GALLATIN, TN",Educational Services and Schools - Other,"$94,164"
1991,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards",
1992,,"MEMPHIS, TN",Educational Services and Schools - Other,"$4,000"
1993,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1994,,"DOVER, TN",Single Organization Support,
1995,,"MOUNT JULIET, TN",Parent/Teacher Group,
1996,,"BRENTWOOD, TN",Education N.E.C.,
1997,,"KINGSPORT, TN","Secondary, High School",
1998,,"GALLATIN, TN",Alliance/Advocacy Organizations,
1999,,"GALLATIN, TN","Professional Societies, Associations",
2000,,"BRENTWOOD, TN",Parent/Teacher Group,"$63,765"
2001,,"SWEETWATER, TN",Libraries (B71I),
2002,,"HENDERSONVLLE, TN",Fund Raising and/or Fund Distribution,
2003,,"PARSONS, TN",Nonmonetary Support N.E.C.,"$3,048,870"
2004,,"MURFREESBORO, TN","Student Services, Organizations of Students",
2005,,"LAWRENCEBURG, TN","Scholarships, Student Financial Aid Services, Awards",
2006,,"CORDOVA, TN","Remedial Reading, Reading Encouragement",
2007,,"CHATTANOOGA, TN","Student Services, Organizations of Students","$166,276"
2008,,"GAINESBORO, TN",Parent/Teacher Group,
2009,,"MEMPHIS, TN","Professional Societies, Associations","$440,368"
2010,,"MEMPHIS, TN",Educational Services and Schools - Other,"$952,054"
2011,,"NASHVILLE, TN","Graduate, Professional Schools (Separate Entities) (B5BZ)","$399,803"
2012,,"NASHVILLE, TN",Education N.E.C.,
2013,,"NASHVILLE, TN",Education N.E.C.,"$432,075"
2014,,"NASHVILLE, TN",Educational Services and Schools - Other,"$86,952"
2015,,"MEMPHIS, TN","Professional Societies, Associations",
2016,,"NASHVILLE, TN","Professional Societies, Associations","$1,523,764"
2017,,"NASHVILLE, TN",Educational Services and Schools - Other,"$1,569,959"
2018,,"JOHNSON CITY, TN",Education N.E.C.,"$409,689"
2019,,"BRISTOL, TN",Single Organization Support,"$92,256"
2020,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$142,137"
2021,,"MEMPHIS, TN",Specialized Education Institutions,
2022,,"OAK RIDGE, TN","Adult, Continuing Education","$91,137"
2023,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$58,437"
2024,,"NASHVILLE, TN",Education N.E.C.,
2025,,"KNOXVILLE, TN",Alumni Associations,
2026,,"NASHVILLE, TN","Student Services, Organizations of Students","$175,401"
2027,,"ATHENS, TN",Undergraduate College (4-year),"$36,534,539"
2028,,"GERMANTOWN, TN","Scholarships, Student Financial Aid Services, Awards",
2029,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$75,000"
2030,,"CHATTANOOGA, TN","Secondary, High School","$57,605,493"
2031,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
2032,,"KNOXVILLE, TN",Education N.E.C.,
2033,,"MURFREESBORO, TN",Single Organization Support,"$64,611"
2034,,"JOHNSON CITY, TN","Primary, Elementary Schools","$1,294,238"
2035,,"NASHVILLE, TN",Single Organization Support,"$1,099,205"
2036,,"BRENTWOOD, TN",Fund Raising and/or Fund Distribution,"$110,087"
2037,,"ASHLAND CITY, TN","Scholarships, Student Financial Aid Services, Awards",
2038,,"SPRINGFIELD, TN","Scholarships, Student Financial Aid Services, Awards",
2039,,"KNOXVILLE, TN","Student Sororities, Fraternities","$6,015,594"
2040,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
2041,,"KNOXVILLE, TN","Student Sororities, Fraternities",
2042,,"JACKSON, TN","Student Sororities, Fraternities",
2043,,"BOLIVAR, TN",Educational Services and Schools - Other,
2044,,"COLUMBIA, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
2045,,"SEVIERVILLE, TN",Alumni Associations,
2046,,"SMITHVILLE, TN",Education N.E.C.,
2047,,"SODDY DAISY, TN",Education N.E.C.,
2048,,"NASHVILLE, TN",Education N.E.C.,
2049,,"JONESBOROUGH, TN",Single Organization Support,
2050,,"NASHVILLE, TN",Educational Services and Schools - Other,
2051,,"MEMPHIS, TN","Adult, Continuing Education",
2052,,"ARTHUR, TN","Primary, Elementary Schools",
2053,,"HERMITAGE, TN","Elementary, Secondary Education, K - 12",
2054,,"NASHVILLE, TN",Single Organization Support,
2055,,"NASHVILLE, TN",Alumni Associations,
2056,,"KNOXVILLE, TN","Student Sororities, Fraternities","$141,821"
2057,,"HIXSON, TN",Education N.E.C.,
2058,,"LAFAYETTE, TN",Educational Services and Schools - Other,"$115,807"
2059,,"UNION CITY, TN",Education N.E.C.,"$26,675"
2060,,"NASHVILLE, TN","Professional Societies, Associations",
2061,,"KNOXVILLE, TN",Education N.E.C.,
2062,,"COOKEVILLE, TN",Educational Services and Schools - Other,
2063,,"JAMESTOWN, TN",Alliance/Advocacy Organizations,
2064,,"BAXTER, TN",Single Organization Support,
2065,,"COLUMBIA, TN","Scholarships, Student Financial Aid Services, Awards",
2066,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
2067,,"COOKEVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2068,,"CORDOVA, TN",Educational Services and Schools - Other,
2069,,"ANTIOCH, TN","Student Services, Organizations of Students",
2070,,"LAKELAND, TN","Adult, Continuing Education",
2071,,"MEMPHIS, TN","Student Sororities, Fraternities",
2072,,"KNOXVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$428,094"
2073,,"KNOXVILLE, TN",Single Organization Support,"$110,193"
2074,,"CHATTANOOGA, TN",Parent/Teacher Group,"$84,433"
2075,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,"$12,151"
2076,,"WHITE HOUSE, TN",Parent/Teacher Group,
2077,,"MEMPHIS, TN",Single Organization Support,
2078,,"MEMPHIS, TN",Educational Services and Schools - Other,
2079,,"WHITWELL, TN",Single Organization Support,
2080,,"MEMPHIS, TN",Single Organization Support,
2081,,"FRANKLIN, TN",Educational Services and Schools - Other,
2082,,"KINGSPORT, TN","Scholarships, Student Financial Aid Services, Awards",
2083,,"FRANKLIN, TN",Fund Raising and/or Fund Distribution,
2084,,"WINCHESTER, TN","Primary, Elementary Schools","$1,749,465"
2085,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2086,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards","$46,977"
2087,,"CORODOVA, TN",Education N.E.C.,
2088,,"COOKEVILLE, TN","Professional Societies, Associations","$3,799,124"
2089,,"MEMPHIS, TN","Primary, Elementary Schools","$5,549,562"
2090,,"MEMPHIS, TN",Education N.E.C.,
2091,,"BRENTWOOD, TN","Remedial Reading, Reading Encouragement",
2092,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$50,675"
2093,,"MEMPHIS, TN",Educational Services and Schools - Other,"$19,167"
2094,,"KNOXVILLE, TN",Educational Services and Schools - Other,
2095,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
2096,,"JACKSON, TN",Undergraduate College (4-year),
2097,,"MEMPHIS, TN","Student Sororities, Fraternities",
2098,,"BARTLETT, TN","Student Sororities, Fraternities",
2099,,"COLUMBIA, TN",Fund Raising and/or Fund Distribution,"$97,002"
2100,,"NASHVILLE, TN","Professional Societies, Associations","$3,550,952"
2101,,"BRENTWOOD, TN",Single Organization Support,"$6,065,302"
2102,,"COLUMBIA, TN",Education N.E.C.,"$11,400"
2103,,"ROGERSVILLE, TN","Primary, Elementary Schools",
2104,,"LA VERGNE, TN","Scholarships, Student Financial Aid Services, Awards",
2105,,"BYRDSTOWN, TN",Management & Technical Assistance,
2106,,"MEMPHIS, TN",Educational Services and Schools - Other,"$150,000"
2107,,"MEMPHIS, TN",Educational Services and Schools - Other,
2108,,"CHATTANOOGA, TN","Student Sororities, Fraternities",
2109,,"WALLING, TN","Scholarships, Student Financial Aid Services, Awards",
2110,,"MEMPHIS, TN","Vocational, Technical Schools (B31Z)","$107,696"
2111,,"CLARKSVILLE, TN","Adult, Continuing Education",
2112,,"MEMPHIS, TN","Adult, Continuing Education",
2113,,"NASHVILLE, TN",Education N.E.C.,
2114,,"MILLINGTON, TN","Elementary, Secondary Education, K - 12 (B29)",
2115,,"NASHVILLE, TN",Education N.E.C.,"$100,580"
2116,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
2117,,"NASHVILLE, TN",Education N.E.C.,
2118,,"MEMPHIS, TN",Educational Services and Schools - Other,
2119,,"EADS, TN","Elementary, Secondary Education, K - 12","$67,303"
2120,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
2121,,"MORRISTOWN, TN","Elementary, Secondary Education, K - 12","$1,034,639"
2122,,"THOMPSONS STN, TN",Parent/Teacher Group,
2123,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
2124,,"KNOXVILLE, TN",Education N.E.C.,
2125,,"NASHVILLE, TN","Student Sororities, Fraternities","$57,583"
2126,,"MEMPHIS, TN",Alumni Associations,
2127,,"JONESBOROUGH, TN","Student Services, Organizations of Students",
2128,,"MEMPHIS, TN",Educational Services and Schools - Other,
2129,,"FRANKLIN, TN",Educational Services and Schools - Other,
2130,,"NASHVILLE, TN",Undergraduate College (4-year),"$7,876,217"
2131,,"OOLTEWAH, TN",Educational Services and Schools - Other,
2132,,"BLOUNTVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2133,,"KNOXVILLE, TN",Education N.E.C.,"$59,235"
2134,,"NASHVILLE, TN",Single Organization Support,"$232,750"
2135,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2136,,"NASHVILLE, TN","Student Services, Organizations of Students",
2137,,"GREENEVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
2138,,"NASHVILLE, TN",Education N.E.C.,"$340,863"
