name,address,city,zipcode,classification_codes,tax_period,asset_amount,income_amount,revenue_amount,ntee_code
THE LAURA CASTEEL MEMORIAL SCHOLARSHIP FUND,1975 NEPTUNE RD,ASHLAND CITY,37015-6173,1000,12/1/22,0,0,0,B82
THE SCHOLARSHIP FOUNDATION OF ROBERTSON COUNTY,728 SOUTH MAIN STREET,SPRINGFIELD,37172-2867,1000,6/1/22,982307,89437,-86535,B82
THE TAU BETA PI ASSOCIATION INC,PO BOX 2697,KNOXVILLE,37901-2697,1000,7/1/22,37917187,6246306,6015594,B830
THEODORE RAYMOND MOSCH EDUCATIONAL FOUNDATION,4215 HARDING PIKE APT 207,NASHVILLE,37205-2026,1000,12/1/22,1812617,9373626,,B12
THEODORUS CHAPTER OF ALPHA RHO CHI FRATERNITY,1715 VOLUNTEER BLVD,KNOXVILLE,37996-4521,1000,12/1/20,0,0,0,B83
THETA IOTA CHAPTER OMEGA PSI PHI FRATERNITY,340 N HAYS AVE,JACKSON,38301-6441,1000,10/1/22,0,0,0,B83
THINK HEART,915 CLIFFTVIEW RD,BOLIVAR,38008-8323,1230,12/1/22,0,0,0,B90
TINY HANDS INC,1409 POTTER DR,COLUMBIA,38401-9219,1278,,,,,B21
TKE MU OMICRON ALUMNI ASSOCIATION,309 HOPSON ST,SEVIERVILLE,37876-1545,1000,12/1/22,0,0,0,B84
TN AAUP FOUNDATION INC,303 PONDER RD,SMITHVILLE,37166-7345,2000,12/1/20,0,0,0,B99Z
TN-CHINA NETWORK INC,PO BOX 245,SODDY DAISY,37384-0245,2000,12/1/22,0,0,0,B99
TOURING CAREER WORKSHOP,798 BERRY RD UNIT 40545,NASHVILLE,37204-2881,2000,12/1/22,0,0,0,B99
TRAILBLAZER QUARTERBACK CLUB,129 BOWMAN LN,JONESBOROUGH,37659-3839,1000,7/1/22,0,0,0,B11
TRANSFORMATION NASHVILLE INC,1319 RIVERWOOD DR,NASHVILLE,37216-2321,1200,6/1/22,0,0,0,B90
TRANSFORMING CHANGE AGENTS,1519 UNION UNIT 407,MEMPHIS,38104-3726,2000,12/1/22,0,0,0,B60
TRI-STATE CHRISTIAN ACADEMY,PO BOX 206,ARTHUR,37707-0206,7210,,,,,B24
TRIUMPHANT CHRISTIAN,3015 WILTSHIRE PARK PL,HERMITAGE,37076-1677,2000,12/1/20,0,0,0,B20
TSLA FRIENDS,1001 REP JOHN LEWIS WAY N,NASHVILLE,37219-1115,1000,12/1/22,0,0,0,B11
TTPSK ALUMINA ASSOCIATION FOUNDATION TR,4826 POST RD,NASHVILLE,37205-2712,1237,12/1/20,9709,15,,B84
TWENTIETH STREET HOUSE CORPORATION,1516 COLEMAN RD STE 204,KNOXVILLE,37909-3809,1000,6/1/22,1707010,141821,141821,B83
TWENTY TWO SIX 22 6 INC,5555 HIXSON PIKE APT 407,HIXSON,37343-3222,2000,12/1/17,0,0,0,B99
UCA TUTORIAL INC,1509 PARK CIR,LAFAYETTE,37083-1902,2000,6/1/22,10490,115807,115807,B90
UNION CITY SCHOOLS FOUNDATION INC,624 E REELFOOT AVE,UNION CITY,38261-5739,1000,6/1/22,487179,26675,26675,B99Z
UNION OF VIETNAMESE STUDENT ASSOCIATIONS OF THE SOUTHEAST,6339 CHARLOTTE PIKE PMB 2032,NASHVILLE,37209-2926,1000,7/1/21,0,0,0,B03
UNIVERSITY OF TENNESSEE COLLEGE OF LAW STUDENT BAR ASSOCIATION,1505 CUMBERLAND AVE,KNOXVILLE,37916-3199,1000,6/1/22,0,0,0,B99
UPPER CUMBERLAND EDUCATIONAL FOUNDATION,PO BOX 430,COOKEVILLE,38503-0430,1000,6/1/22,0,0,0,B90
UPPER CUMBERLAND FOR LIFE,640 TWELVE OAKS RD,JAMESTOWN,38556-7418,2000,12/1/22,0,0,0,B01
UPPERMAN CAMPUS COMMUNITY COUNCIL,245 ELMORE TOWN RD,BAXTER,38544-5008,2000,6/1/22,0,0,0,B11
VALLEY OF ACHOR INC,2603 MAPLEWOOD DR,COLUMBIA,38401-4321,2000,12/1/22,0,0,0,B82
VILLAGE 901,3681 CHERRY RD,MEMPHIS,38118-6356,1200,6/1/22,0,0,0,B01
VINNIE LINDSEY ROBERTS SCHOLARSHIP,19 S JEFFERSON AVE,COOKEVILLE,38501-3307,1000,12/1/21,477938,99922,,B82
VIRTUE QUEST,800 N HOUSTON LEVEE RD,CORDOVA,38018-6614,1200,12/1/21,25430,0,0,B90
VOICES FOR FAMILIES AND YOUTH INC,5424 BELL FORGE LN E UNIT 1523,ANTIOCH,37011-2436,1000,12/1/21,0,0,0,B80
WAREHOUSE A RESOURCE & ADULT LITERACY CENTER,9479 OWL HILL DR,LAKELAND,38002-9487,1230,,,,,B60
WDIA GOODWILL FUND INC,1904 FINLEY RD,MEMPHIS,38116-6940,1000,12/1/22,181564,0,0,B83I
WEST END CHRISTIAN SCHOOL,8301 E WALKER SPRINGS LN,KNOXVILLE,37923-3102,2000,6/1/22,595190,596230,428094,B21Z
WEST HIGH SCHOOL FOUNDATION,PO BOX 10321,KNOXVILLE,37939-0321,2000,6/1/22,174231,126609,110193,B11
WESTVIEW ELEMENTARY PTO,9629 E BRAINERD RD,CHATTANOOGA,37421-4804,1000,6/1/22,43359,84433,84433,B94
WHARTON CHARITABLE FUND INC,1450 POPLAR AVE,MEMPHIS,38104-2901,1200,6/1/22,122515,12151,12151,B12
WHITE HOUSE HERITAGE ELEMENTARY PTO INC,222 WEST DR,WHITE HOUSE,37188-0000,1000,6/1/20,0,0,0,B94
WHITE STATION HIGH SCHOOL PARTNERS IN EDUCATION,514 S PERKINS RD,MEMPHIS,38117-3942,1000,6/1/22,0,0,0,B11
WHITE STATION MIDDLE SCHOOL PIE,5465 MASON RD,MEMPHIS,38120-1758,2000,5/1/22,0,0,0,B90
WHITWELL HIGH SCHOOL QUARTERBACK CLUB,200 TIGER TRL,WHITWELL,37397-6025,1000,12/1/21,0,0,0,B11
WILBERFORCE UNIVERSITY ALUMNI ASSOCIATION,3803 SHADY HOLLOW LN,MEMPHIS,38116-4040,1000,12/1/22,0,0,0,B114
WILCO IRIS,810 OAK MEADOW DR UNIT 680814,FRANKLIN,37068-0136,2000,12/1/22,0,0,0,B90
WILLIAM SEYMOUR FOUNDATION,1341 BELMEADE DR,KINGSPORT,37664-2034,1270,12/1/22,323,4,,B82
WILLIAMSON COUNTY EDUCATION FOUNDATION INC,118 FRONT STREET SUITE 116-76,FRANKLIN,37064-5145,1200,12/1/20,0,0,0,B12
WINCHESTER CHRISTIAN ACADEMY INC,PO BOX 715,WINCHESTER,37398-0715,1000,6/1/22,1431725,1872628,1749465,B24
WOMANALYTICS,5360 EDMONDSON PIKE APT 505,NASHVILLE,37211-7354,1000,,,,,B82
WOMANS CLUB OF MURFREESBORO,221 E COLLEGE ST,MURFREESBORO,37130-3749,1000,3/1/22,244965,46977,46977,B82
WOMEN IN AVIATION,1138 N GERMANTOWN PKWY,CORODOVA,38016-5872,1000,9/1/22,0,0,0,B99
WOMEN IN CYBER SECURITY,370 S LOWE AVE STE A # 244,COOKEVILLE,38501-4707,2000,7/1/22,3334938,3825636,3799124,B03
WOODLAND PRESBYTERIAN SCHOOL,5217 PARK AVE,MEMPHIS,38119-3503,1700,6/1/22,4569885,5549562,5549562,B24
WORD OF FAITH CHRISTIAN CENTER,3528 SHARPE AVE,MEMPHIS,38111-5020,2700,,,,,B99Z
WORD WAGON,9113 BRENTMEADE BLVD,BRENTWOOD,37027-8525,2000,6/1/20,0,0,0,B92
WRIGHT TOUCH CHILD CAREINCORPORATED,2891 CLEARWOOD RD,MEMPHIS,38134-4331,2000,12/1/22,1246,50675,50675,B21
Y-MOT OUTREACH MINISTRIES INC,PO BOX 901373,MEMPHIS,38190-1373,1200,12/1/22,33625,19167,19167,B90
YOGA 4 LIFE,118B HARLEY DR,KNOXVILLE,37919-7513,2000,12/1/22,0,0,0,B90
YOUTH EXPLORING CAREER GOALS,6728 DEVENSHIRE LN,MEMPHIS,38141-7368,1000,,,,,B01
ZETA KAPPA CHAPTER OF KAPPA ALPHA PSI,PO BOX 12513,JACKSON,38308-0138,1000,,,,,B42
ZETA OMEGA HOUSE CORPORATION OF KAPPA DELTA SORORITY INC,3205 PLAYERS LN,MEMPHIS,38125-8897,1000,6/1/22,0,0,0,B83
ZETA PHI BETA SORORITY INCORPORATED,PO BOX 34025,BARTLETT,38184-0025,1000,6/1/22,0,0,0,B83
ZION CHRISTIAN ACADEMY FOUNDATION,6901 OLD ZION RD,COLUMBIA,38401-6025,2000,6/1/22,772302,97002,97002,B12
1065 INSTITUTE INC,103 MURPHY CT,NASHVILLE,37203-1005,2000,12/1/22,10232977,4506039,3550952,B03
147 MILLION ORPHANS FOUNDATION INC,PO BOX 2929,BRENTWOOD,37024-2929,1000,12/1/21,8121489,6767056,6065302,B11
1861 GIRLS SCHOOL ASSOCIATION,4595 OLD SOWELL MILL PIKE,COLUMBIA,38401-7834,2000,12/1/22,17143,11400,11400,B99
4 SQUARE INC - EDUCATIONAL,113 PREAKNESS COURT,ROGERSVILLE,37857-0000,2000,12/1/21,0,0,0,B24
4 THE KIDZ FOUNDATION,392 DAVIDS WAY,LA VERGNE,37086-4297,1270,12/1/19,0,0,0,B82
911 WINTER WORKSHOP,101 WALT RICH LN,BYRDSTOWN,38549-4594,1200,12/1/22,0,0,0,B02
A BETTER DAY LEARNING ACADEMY,6635 QUINCE RD STE 107,MEMPHIS,38119-8030,1000,12/1/21,1,150000,150000,B90
A@CLOSER WALK INC,6641 LOST OAK DR STE 323,MEMPHIS,38115-0000,2000,,,,,B90
AABE EAST TENNESSEE CHAPTER,PO BOX 11446,CHATTANOOGA,37401-2446,1200,12/1/20,0,0,0,B83
AARON SHAFER MEMORIAL FOUNDATION,316 ORCHID LN,WALLING,38587-5196,1000,12/1/22,0,0,0,B82
ABC OF WEST TENNESSEE EDUCATION TR INC,1995 NONCONNAH BLVD,MEMPHIS,38132-2108,2000,12/1/21,46841,107696,107696,B31Z
ACADEMIA DE HISPANOS EMPRENDEDORES,2225 LOWES DR W STE B,CLARKSVILLE,37040-7290,2000,12/1/22,0,0,0,B60
ACADEMIC AND COMMUNITY EXCELLENCE INCORPORATED,1485 GAUSCO RD,MEMPHIS,38106-8211,1000,12/1/22,0,0,0,B60
ACADEMIC DECENCY LEAGUE INC,7205 RIVER JUNCTION DR,NASHVILLE,37221-4604,1000,12/1/20,0,0,0,B99
ACADEMY ALL GIRLS CHARTER SCHOOL,6571 JACK CV,MILLINGTON,38053-8194,2000,12/1/21,0,0,0,B29
ACE MENTOR PROGRAM OF GREATER NASHVILLE INC,2995 SIDCO DR,NASHVILLE,37204-3709,1000,4/1/22,292356,100580,100580,B99
ADOPT-A-SCHOOL PARTNERSHIPS INC,505 SUMMER PL,KNOXVILLE,37902-2807,2000,6/1/22,0,0,0,B12
ADVANCED CONSUMER BANKRUPTCY PRACTICE INSTITUTE INC,PO BOX 330818,NASHVILLE,37203-7505,1200,12/1/22,0,0,0,B99
AGAINST ALL ODDS TUTORIAL INC,5667 NEWBERRY AVE,MEMPHIS,38115-3530,2000,12/1/22,0,0,0,B90
AHEAD INC,10509 CENTURY GROVE CV,EADS,38028-6948,1000,12/1/21,1941,67303,67303,B20
ALABAMA ALUMNI AND FRIENDSCHATTANOOGA CHAPTER,8041 ROSEMERE WAY,CHATTANOOGA,37421-4298,1200,6/1/22,0,0,0,B82
ALL SAINTS EPISCOPAL SCHOOL INC,3275 MAPLE VALLEY RD,MORRISTOWN,37813-3420,2000,6/1/22,2869557,1034639,1034639,B20
ALLIANCE CHRISTIAN ACADEMY,2633 BLAIR PARK CIR,THOMPSONS STN,37179-5104,2000,5/1/19,0,0,0,B94
ALPHA ETA ZETA DOVE FOUNDATION INC,PO BOX 301407,MEMPHIS,38130-1407,1200,12/1/22,0,0,0,B82
ALPHA PI OMEGA FOUNDATION,PO BOX 31262,KNOXVILLE,37930-1262,1000,12/1/22,0,0,0,B99Z
ALPHA TAU OMEGA FRATERNITY,1900 BELMONT BLVD,NASHVILLE,37212-3758,1000,12/1/17,33646,72709,57583,B83
ALPHA XI DELTA ALUMNAE,1994 WALKER AVE,MEMPHIS,38104-5635,1230,12/1/22,0,0,0,B84
AMA-TMA STUDENT SECTION,102 SYCAMORE CIR,JONESBOROUGH,37659-5700,1200,,,,,B80
AMBITION FOUNDATION,8040 SALISBURY PL APT 201,MEMPHIS,38119-3019,1200,12/1/22,0,0,0,B90
AMERICAN ARMENIAN OPEN FOUNDATION,4006 FLAGSTONE CT,FRANKLIN,37069-7231,2000,,,,,B90
AMERICAN BAPTIST THEOLOGICAL SEMINARY,1800 BAPTIST WORLD CENTER DR,NASHVILLE,37207-4952,2000,6/1/22,11177466,7876217,7876217,B42Z
AMERICAN INSTITUTE OF CERTIFIED DEBT ARBITRATORS EDUCATION INSTITU,8419 MISS TIFFANY WAY,OOLTEWAH,37363-7109,1200,,,,,B90
AMERICAN PATRIOTS & PASTIME INC,105 FRANKLIN DR,BLOUNTVILLE,37617-4541,1200,12/1/22,0,0,0,B82
AMERICAN RESEARCH UNIVERSITIES - HUMAN RESOURCE INSTITUTE,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2000,6/1/22,152180,59235,59235,B99
AMERICAN SOCIETY OF PROFESSIONAL ESTIMATORS,2525 PERIMETER PLACE DR STE 103,NASHVILLE,37214-3674,1000,12/1/17,0,232750,232750,B11
AMERICAN SOCIETY OF PROFESSIONAL ESTIMATORS FOUNDATION INC,PO BOX 140710,NASHVILLE,37214-0710,1200,12/1/22,0,0,0,B82
AMERICAN STUDENT DENTAL ASSOCIATION,1005 DR DB TODD JR BLVD,NASHVILLE,37208-3501,2000,12/1/22,0,0,0,B80
AMY HULL RANSDELL SCHOLARSHIP INC,PO BOX 1401,GREENEVILLE,37744-1401,2000,12/1/22,0,0,0,B82
AN ARRAY OF CHARM CAMPS FOR YOUTH DEVELOPMENT AAOC,1326 ROSA L PARKS BLVD,NASHVILLE,37208-2576,1000,12/1/21,127960,340863,340863,B99
ANDREW & WILMA SHARP SCHOLARSHIP FUND,176 VOLS LN,LA FOLLETTE,37766-5168,1200,12/1/22,23118,1806,,B82
ANGEL PROGRAM FUND,PO BOX 770247,MEMPHIS,38177-0247,1200,12/1/21,116838,103687,80319,B12
APEX CHRISTIAN ACADEMY,40 LINDA LN,HARTSVILLE,37074-2075,2000,7/1/22,0,0,0,B20
APPALACHIAN CULTURAL MUSIC ASSOCIATION INC,316 BROAD ST,KINGSPORT,37660-4206,1000,12/1/19,0,0,0,B60
ARLINGTON EDUCATION BUSINESS PARTNERSHIPS,12060 ARLINGTON TRL,ARLINGTON,38002-8344,1000,,,,,B90
ARMED SERVICES LEADERSHIP ACADEMY,218 YEARLING TRCE,PLEASANT VIEW,37146-7051,1000,6/1/19,0,0,0,B02
ART CIRCLE PUBLIC LIBRARY FOUNDATION,3 EAST ST,CROSSVILLE,38555-4557,1000,12/1/22,0,0,0,B117
ASPIRE ACADEMY FOR SOCIAL PURPOSE IN RESPONSIBLE ENTERTAINMENT,123 PAGE RD,NASHVILLE,37205-4421,2000,12/1/22,205489,0,0,B80
ASSOCIATION FOR CONTINUING HIGHER EDUCATION,1501 UNIVERSITY BLVD,KINGSPORT,37660-8488,2000,12/1/19,0,0,0,B60
ASTER COLLEGE PREPARATORY INC,111 S HIGHLAND ST SUIT 108,MEMPHIS,38111-4640,2000,,,,,B29
ATOKA ELEMENTARY SCHOOL PTO,870 ROSEMARK RD,ATOKA,38004-7661,1000,6/1/22,29507,30200,30200,B94
AWARENESS IN ACTION INCORPORATED,2348 HICKORY FOREST DR,MEMPHIS,38119-6604,1000,12/1/20,0,0,0,B12
BARBOUR INTERNATIONAL EDUCATION ACADEMY,14 RICH ST,JACKSON,38301-4682,1200,12/1/21,0,0,0,B60
BARRETS CHAPEL BAND BOOSTER,10280 GODWIN RD,ARLINGTON,38002-4085,2000,12/1/18,0,0,0,B80
BARRETS CHAPEL ELEMENTARY PTA,10280 GODWIN RD,ARLINGTON,38002-4085,2000,6/1/18,0,0,0,B94
BARTLETT BAND BOOSTERS ASSOC,5688 WOODLAWN ST,BARTLETT,38134-3482,2000,4/1/22,52998,293897,286496,B11
BARTLETT HIGH SCHOOL BOYS CROSS COUNTRY BOOSTER CLUB,5688 WOODLAWN ST,BARTLETT,38134-3482,2000,12/1/21,0,0,0,B11
BARTLETT THEATRE AND FORENSICS BOOSTERS,5688 WOODLAWN ST,BARTLETT,38134-3482,2000,6/1/22,0,0,0,B11
BAXTER SEMINARY ALUMNI ASSOCIATION,8400 COOKEVILLE BOAT DOCK RD,BAXTER,38544-9805,1200,4/1/22,0,0,0,B82
BE ABOUT CHANGE,8161 HWY 100 STE 256,NASHVILLE,37221-4213,1000,12/1/22,0,0,0,B82
BEDFORD CO HISTORICAL SOCIETY,108 CREIGHTON PL,SHELBYVILLE,37160-4302,2000,12/1/21,0,0,0,B99
BEECH SENIOR HIGH FOUNDATION,3126 LONG HOLLOW PIKE,HENDERSONVLLE,37075-8781,1000,7/1/22,33658,106425,106425,B20
BELIEVE MEMPHIS ACADEMY,2230 CORRY RD,MEMPHIS,38106-7814,2000,6/1/22,9476795,8064736,8064736,B29
BETTER BUSINESS BUREAU OF THE MID- SOUTH EDUCATION FOUNDATION,3693 TYNDALE DR,MEMPHIS,38125-8537,2000,12/1/22,0,0,0,B99
BEYOND THE HARVEST HEALTH MINISTRIES,30 OLD HIGHWAY 64,SAVANNAH,38372-7426,1000,12/1/21,0,0,0,B30
BIBLICAL THEOLOGICAL SEMINARY OF POLAND,533 WILLIAMSBURG LN,MEMPHIS,38117-3633,1000,12/1/22,166177,553180,553180,B58I
BINGHAMPTONS PROJECT VISION INC,557 LESTER ST,MEMPHIS,38112-2911,1000,12/1/21,14791,76994,76994,B21
BIOTN FOUNDATION INC,618 CHURCH STREET 210,NASHVILLE,37219-2428,1000,12/1/22,91960,195780,,B99
BISON SOCCER BOOSTER CLUB,1040 BISON TRL,GALLATIN,37066-8460,2000,5/1/22,73392,88169,82763,B112
BLACKBERRY FARM FOUNDATION,108 WEST CHURCH AVE,MARYVILLE,37801-4906,1000,12/1/22,1167441,320771,320771,B82
BLAZE MENTORING PROGRAM,63 HERMITAGE AVE,NASHVILLE,37210-2195,2000,12/1/22,0,0,0,B99
BLOOMSBURY FARM SCHOOL,9398 DEL THOMAS RD,SMYRNA,37167-6028,2000,,,,,B30
BLOUNTVILLE ELEMENTARY PTO,2348 HIGHWAY 75,BLOUNTVILLE,37617-6325,1000,6/1/19,0,0,0,B11
BLUE GRASS ELEMENTARY PTO,8901 BLUEGRASS RD,KNOXVILLE,37922-5923,2000,6/1/22,65413,145011,117065,B94
BLUE STREAK SCHOLARSHIP FUND INC,6240 POPLAR AVE,MEMPHIS,38119-4731,1000,12/1/19,10932,30122,30122,B82
BLUE WILLOW TUTORIAL,261 COUNTY ROAD 757,RICEVILLE,37370-5204,2000,12/1/21,32655,111681,111681,B20
BLUFF CITY MIDDLE SCHOOL PTA,337 CARTER ST,BLUFF CITY,37618-2924,1200,6/1/20,0,0,0,B94
BOBCAT BAND BOOSTERS,PO BOX 18408,KNOXVILLE,37928-2408,1000,6/1/22,39064,53645,37758,B112
BOBCAT PRIDE & TRADITION INC,5216 CLAIRIDGE RD,KNOXVILLE,37918-3513,1200,12/1/22,0,0,0,B25
BOILERMAKERS AND WELDING INTITUTE,PO BOX 1784,MEMPHIS,38101-1784,2000,12/1/17,0,0,0,B30
BOWEN THEORY EDUCATION CENTER INC,3514 REDDING RD,CHATTANOOGA,37415-4118,1000,12/1/22,0,0,0,B60
BOYD - BUCHANAN SCHOOL,4650 BUCCANEER TRL,CHATTANOOGA,37411-1247,2000,6/1/22,17205963,15055764,14405887,B200
BRADLEY CENTRAL HIGH SCHOOL BAND BOOSTERS ASSOCIATION,1000 S LEE HWY,CLEVELAND,37311-5857,1200,4/1/22,10876,24580,2212,B11
BREEDER EDUCATION FOR THE PROTECTION OF PETS,1848 GROVE TRAIL CV,GERMANTOWN,38139-5545,1000,,,,,B12
BRENTWOOD MIDDLE SCHOOL PARENT TEACHER ORGANIZATION,5324 MURRAY LN,BRENTWOOD,37027-6205,1000,6/1/22,71167,184006,169289,B24I
BRIDGING THE GAP MINISTRIES INC,6971 SUNNYWOOD DR,NASHVILLE,37211-8566,1200,12/1/18,0,0,0,B90
BRIGHTON HIGH SCHOOL BASEBALL BOOSTER CLUB,8045 HIGHWAY 51 S,BRIGHTON,38011-8003,1000,,,,,B11
BROCK CENTER,PO BOX 2247,CHATTANOOGA,37409-0247,2000,6/1/22,187104,176234,176234,B90
BROTHERHOOD B2M,7255 GERMANTOWN TRL,MEMPHIS,38125-4522,2000,,,,,B80
BRYAN COLLEGE,721 BRYAN DR,DAYTON,37321-6275,2000,6/1/22,51965240,27350526,27171476,B420
BSIDES MID-TN,3408 MAPLE TIMBER DR,ANTIOCH,37013-5452,2000,6/1/22,0,0,0,B03
BSJ CORPORATION,223 ROSA L PARKS AVE STE 200,NASHVILLE,37203-3513,1200,12/1/21,0,0,0,B82
BUCKLEY CARPENTER ELEMENTARY SCHOOL PTO,407 S HIAWATHA ST,SOMERVILLE,38068-1623,2000,,,,,B11
BUCKNER FAMILY CHAR FOUNDATION TR,PO BOX 150122,NASHVILLE,37215-0122,1000,12/1/21,458647,241397,,B82
BUD MITCHUM SCHOLARSHIP FUND,PO BOX 637,SPRING HILL,37174-0637,2000,12/1/22,1453661,873270,,B90
BULLDOG QB CLUB,PO BOX 416,CORNERSVILLE,37047-0416,1000,12/1/22,0,0,0,B12
BUSINESS SCHOOL DIVERSITY EQUITY & INCLUSION COLLABORATIVE,8340 IVORY TOWER DR,KNOXVILLE,37931-1922,2000,6/1/22,0,0,0,B03
C I M PATRONS,MTSU BOX 19 1301 EAST MAIN ST,MURFREESBORO,37132-0001,2000,12/1/22,640537,272822,272822,B900
CAMP COUSIN-UNCLE TRELL,1684 DANCYVILLE RD,STANTON,38069-4728,1200,12/1/22,0,0,0,B90
CAMPUS DEVELOPMENT FOUNDATION INC,201 ALUMNI HOUSE 615 MCCALLIE AVE,CHATTANOOGA,37403-0000,1000,6/1/22,70898605,12373348,12373348,B120
CARL FUSSELL MEMORIAL SCHOLARSHIP FUND,400 WILLOW LAKE DR,PORTLAND,37148-2412,1000,12/1/22,4375,4375,,B82
CARMEL ELEMENTARY SCHOOL PTO,4925 SANGO RD,CLARKSVILLE,37043-7210,2000,7/1/22,10269,70483,33715,B99
CARTHAGE CHRISTIAN CHURCH SCHOLARSHIP FUND,7 RICHLAND LN,CARTHAGE,37030-2032,1000,12/1/22,84097,7566,7566,B82
CASCADE HIGH SCHOOL TIPOFF,265 HURRICANE GROVE RD,SHELBYVILLE,37160-7363,1000,,,,,B11
CASCADE YOUTH FOOTBALL LEAGUE,PO BOX 286,SHELBYVILLE,37162-0286,1000,12/1/22,0,0,0,B11
CASEY DEER CHARITABLE FOUNDATION,220 ATHLETIC LN,CLARKSVILLE,37040-5018,1000,12/1/22,0,0,0,B82
CEDAR HILL ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,PO BOX 592,ARDMORE,38449-0592,1200,5/1/23,0,0,0,B94
CENTENNIAL CHILD DEVELOPMENT CENTER PARENT COMMITTEE - CCDC PC,2606 CHARLOTTE AVE,NASHVILLE,37209-4198,2000,12/1/22,0,0,0,B94
CENTER FOR ADVANCED RESEARCH IN PHENOMENOLOGY,1948 PEABODY AVE,MEMPHIS,38104-4043,2000,12/1/21,0,0,0,B12
CENTER FOR BOLD ACTION,5936 BROWNTOWN RD,CHATTANOOGA,37415-1202,2000,12/1/20,0,0,0,B99
CENTRAL HIGH SCHOOL BAND BOOSTER CLUB,PO BOX 188,ETOWAH,37331-0188,2000,6/1/22,0,0,0,B11
CENTRAL HIGH SCHOOL NJROTC BOOSTER CLUB,114 LINDY DR,KNOXVILLE,37920-5248,1000,12/1/22,0,0,0,B11
CENTRAL MAGNET SCHOOL PARENT TEACHER ORGANIZATION,701 E MAIN ST,MURFREESBORO,37130-3942,2000,6/1/22,6457,81754,67892,B94
CHANGE LEADERSHIP COUNCIL,327 STONEGATE DR,FRANKLIN,37064-5546,1200,12/1/20,0,0,0,B03
CHATTANOOGA ALUMNI CHAPTER OF THE SIGMA CHI FRATERNITY,1714 UNDERWOOD ST,CHATTANOOGA,37408-1751,1000,12/1/22,0,0,0,B84
CHATTANOOGA MEDICAL GROUP MANAGEMENT ASSOCIATION,975 E 3RD STREET BOX 376,CHATTANOOGA,37403-2173,2000,12/1/22,0,0,0,B90
CHATTANOOGA WOMENS LEADERSHIP INSTITUTE,PO BOX 4363,CHATTANOOGA,37405-0363,1000,12/1/21,359652,336765,330724,B90
CHEO OF GREATER KNOXVILLE AREA,PO BOX 22511,KNOXVILLE,37933-0511,2000,12/1/22,0,0,0,B99
CHI PSI EDUCATIONAL TRUST INC,45 RUTLEDGE ST,NASHVILLE,37210-2042,1000,6/1/22,20832645,15167856,4763286,B11
CHILDREN OF ALZHEIMERS SCHOLARSHIP FUND,2493 FAIRWAY DR,DYERSBURG,38024-8937,1000,,,,,B82
CHILDRENS PROGRESS UNLIMITED INC,915 LAKE ODONNELL RD,SEWANEE,37375-2154,1000,4/1/20,4079,1,,B122
CHRIST CENTERED MINISTRIES INC,608 CLEVELAND ST,NASHVILLE,37207-5757,2000,12/1/21,0,0,0,B60
CHRISTIAN ACADEMY OF CAMPBELL COUNTY INC,2709 GENERAL CARL STINER HWY,LAFOLLETTE,37766-0000,2000,,,,,B25Z
CHUCKEY-DOAK BAND BOOSTER CLUB,365 RIPLEY ISLAND RD,AFTON,37616-5860,2000,12/1/22,13669,37179,37179,B11
CLARAS FAMILY FOUNDATION,1062 PEACHTREE ST,MEMPHIS,38122-3226,1200,,,,,B90
CLARKSVILLE ACADEMY FOUNDATION,121 S 3RD ST,CLARKSVILLE,37040-3403,2000,12/1/21,180979,42509,42509,B11
CLARKSVILLE HIGH SCHOOL CHEERLEADING BOOSTER CLUB,825 YORKBAR CT,CLARKSVILLE,37043-8069,1000,12/1/22,0,0,0,B11
CLARKSVILLE KIWANIS FOUNDATION,PO BOX 54,CLARKSVILLE,37041-0054,1000,9/1/22,204742,386277,136737,B19
CLARKSVILLE KOREAN-AMERICAN CENTER,21280 D FT CAMPBELL BLVD,CLARKSVILLE,37042-0000,1200,12/1/20,0,0,0,B99
CLARKSVILLE-MONTGOMERY COUNTY ADULT LITERACY COUNCIL,207 OAK STREET ROOM 200,CLARKSVILLE,37042-6526,1000,6/1/22,13556,37776,37776,B61Z
CLASS OF 2022 CVM,2407 RIVER DR,KNOXVILLE,37996-4539,1000,6/1/21,0,0,0,B84
CLIMB,2298 YOUNG AVE PMB 1126,MEMPHIS,38104-5755,2000,7/1/22,0,0,0,B90
CLINCH RIVER BLACKSMITH GUILD,835 VIRGINIA AVE,KNOXVILLE,37921-2732,2000,12/1/22,0,0,0,B60
CLINCH-POWELL EDUCATIONAL COOPERATIVE,PO BOX 279,TAZEWELL,37879-0279,1200,,,,,B99
CLINTON ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,501 TIMBERCREST DR,CLINTON,37716-2014,1000,7/1/17,0,0,0,B112
COACHING FOR LITERACY,1350 CONCOURSE AVE STE 437,MEMPHIS,38104-2025,2000,7/1/22,104742,880992,880992,B99
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN RESOURCES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN RESOURCES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
